TERMIN-POL;TERMIN-ANG-SIN;TERMIN-ANG-PLU;DEFINICJA
epiblast;epiblast / primitive ectoderm;reg.;A part of the blastocyst from which the germ layers form.
epiblema;zob. ryzoderma;-;-
epibolia;epiboly;- / reg.;A movement of cells during gastrulation leading to covering of another layer of cells.
epidemia;epidemic;reg.;A sudden occurance of cases of a disesase in a given human population.
epifitoza;epiphytotic;reg.;A plant disease that affects a large percentage of the population.
epifit;epiphyte;reg.;A plant, usually non-parasitic, using another plant for support.
kie³kowanie epigeiczne;epigeal germination;- / reg.;A type of plant germination in which cotyledons are present above the ground.
epigenetyka;epigenetics;-;The study of how non-genetic factors influence genetic information.
epikarp;zob. egzokarp;-;-
epikotyl;epicotyl;reg.;A part of germinating plant extending from the cotyledons to the shoot meristem.
epimeryzacja;epimerisation / epimerization;- / reg.;Any chemical reaction in which one diastereoisomer changes into another.
epimorfoza;epimorphosis;-;Regeneration of a lost organ.
episom;episome;reg.;Autonomous genetic material that can be integrated with main genome.
epistaza;epistasis;- / epistases;A phenomenon in which one gene's product influences expression of another gene.
epizoocja;zob. epizootia;-;-
erozja;erosion;-;The destruction of a geological formation due to various factors.
era geologiczna;geologic era;reg.;A division of geological eons.
erytroblast;erythroblast / normoblast / megaloblast / nucleated red blood cell / NRBC;reg.;An erythrocyte stem cell.
aerofit;zob. epifit;-;-
poroœl;zob. epifit;-;-
egzokarp;epicarp / exocarp / flavedo;reg.;The skin of a fruit.
epizootia;epizootic;reg.;An epic-like event in a non-human animal population.
erytrocyt;red blood cell / RBC / red cell / red blood corpuscule / haematid / erythroid cell / erythrocyte;reg.;A blood cell responsible for oxygen transportation in vertebrates.
erytrokruoryna;erythrocruorin;-;A large protein responsible for oxygen transportation in crustaceans and annelids.
erytropoetyna;erythropoietin / erythropoetin / haematopoietin / haemopoietin / EPO;-;A hormone responsible for stimulation of red blood cells production.
erytropoeza;erythropoiesis;-;The process in which red blood cells are produced.
esteraza;esterase;-;Any enzyme catalysing the cleavage of ester bonds.
estradiol;estradiol / E2 / oestradiol;-;A hormone responsible for menstrual cycle regulation.
estriol;estriol / E3 / oestriol;-;A hormone present during pregnancy.
estrogen;estrogen / oestrogen;reg.;Any sex hormone responsible for female reproductive system development and functioning.
estron;estrone / E1 / oestrone;-;A hormone most likely precursor of estradiol.
ester;ester;reg.;A substance formed due to the formation of a bond between an acid and another substance, with a hydroxyl group.
estywacja;aestivation / estivation;- / reg.;A hibernation-like state in which some animals remain during summer.
etiolacja;etiolation;- / reg.;The processes occuring in plants in absence of light.
etiologia;etiology / aetiology / ?tiology;-;The study of disease causes.
etioplast;etioplast;reg.;A plastide precursor to a chloroplast, formed when there is not enough light.
etologia;ethology;-;The study of animal behaviour.
etylen;ethylene;-;An organic substance formed of two carbon atoms and four hydrogen atoms, an important plant hormone.
euchromatyna;euchromatin;-;Loose chromatin that can be transcribed.
strefa eufotyczna;photic zone / euphotic zone / epipelagic zone / sunlit zone;reg.;A zone of a water body closest to the surface.
euglenina;euglenid / euglenoid / euglenophyte;reg.;Any eukaryote flagellate member of the Euglenophyta phylum.
krwinka czerwona;zob. erytrocyt;-;-
sen letni;zob. estywacja;-;-
eukariont;eukaryote;reg.;Any organism with a nucleous in its somatic cells.
euploid;euploid;reg.;Any organism whose chromosome number is the exact multiplication of a number of chromosomes in one chromosome set.
organizm euryfotyczny;euryphotic organism / eurylume organism;reg.;An organism that is tolerant of a wide range of light intensity.
organizm euryhaliczny;euryhaline organism;reg.;An organism that is tolerant of a wide range of salt saturation levels.
organizm euryhydryczny;euryhydric organism;reg.;An organism that is tolerant of a wide range of moisture levels in its environment.
organizm eurytermiczny;eurytherm;reg.;An organism that is tolerant of a wide range of temperatures in its environment.
organizm eurytopowy;zob. eurybiont;-;-
przewód Eustachiusza;Eustachian tube / auditory tube / pharyngotympanic tube;reg.;A tube linking the middle ear to the pharynx, allowing ot regulate pressure inside the ear.
jezioro eutroficzne;eutrophic lake;reg.;A lake with too many nutrients soluted in it, thus prone to algal blooming.
eutrofizacja;eutrophication / dystrophication / hypertrophication;- / reg.;The process through which excess algae grow in a body of water, due to abundance of nutrients, resulting in its greenish colour.
mitochondrialna ewa;mitochondrial Eve;-;The woman which all living people descended from and thus, all mitochondria were inherited.
eza;inoculation loop / smear loop / inoculation wand / microstreaker;reg.;A tool used in microbiology for transferring inoculum.
eurytop;zob. eurybiont;-;-
tr¹bka s³uchowa;zob. przewód eustachiusza;-;-
ewolucja;evolution;-;The process through which change in characteristics occurs through generations.
pêtla bakteriologiczna;zob. eza;-;-
fag;zob. bakteriofag;-;-
fagocytoza;phagocytosis;- / phagocytoses;A complex endocytosis via a phagosome.
fagocyt;phagocyte;reg.;A cell specialised in pathogen phagocytosis.
fagosom;phagosome;reg.;A vesicle formed by a fusion of an endosome and a lysosome.
fanerofit;phanerophyte;reg.;A category of woody plants characterised by forming perennating buds above ground level.
ból fantomowy;phantom pain;reg.;A painful sensation felt in the place of an amputated or otherwise missing limb or organ.
fauna;fauna;-;Animal organisms, either on a whole planet or in a given ecosystem or location.
reakcja Fehlinga;Fehling reaction;-;A chemical reaction allowing to differentiate between aldehyde and keton groups.
fellem;zob. korek;-;-
felloderma;phelloderm;-;A layer of plant tissue produced inwards the organism by phellogen tissue.
fellogen;phellogen;- / reg.;A cork-producing tissue.
fenokopia;phenocopy;-;A phenotypal trait of an organism produced due to environmental factors, making the organism's phenotype the same as it would be if such a trait was determined genetically in this organism.
fenologia;phenology;-;The study of how seasonal and climate changes affect organisms.
fenotyp;phenotype;reg.;Traits of an organism, both molecular and macroscopic.
komórka ¿erna;zob. fagocyt;-;-
roœlina jawnop¹czkowa;zob. fanerofit;-;-
fenyloketonuria;phenylketonuria;-;A genetic disease caused by errors in phenylalanine metabolism, manifesting as intellectual disability and seizures.
fermentacja;fermentation;- / reg.;A biochemical process of converting carbohydrates to energy due to enzymatic activity.
fermentacja alkoholowa;ethanol fermentation / alcoholic fermentation;-;A fermentation with ethyl alcohol as its product.
fermentacja mas³owa;butyric fermentation;-;A fermentation with butyric acid as its product.
fermentacja mlekowa;lactic acid fermentation;-;A fermentation with lactic acid as its product.
feromon;pheromone;reg.;A substance trigerring a behavioral response in organisms when excreted.
ferredoksyna;ferredoxin;-;A protein essential in electron transport chain.
fertylizyna;fertilizin;-;A substace covering an egg cell, assisting in fertilization.
fibroblast;fibroblast;reg.;A collagen-producing cell.
fibryna;fibrin / factor Ia;-;A substance essential for proper blood clotting.
fibrynogen;fibrinogen / factor I;-;A glycoprotein converted to fibrin during blood clotting, essential for this process.
fikobilina;phycobilin;-;Any colour-giving substance found in cyanobacteria, red algae, cryptomonads or glaucophytes, assisting in photosynthesis.
filament poœredni;intermediate filament;intermediate filaments;A thread-like component of cytoskeleton, supporting animal cells.
oligofrenia fenylopirogronowa;zob. fenyloketonuria;-;-
w³óknik;zob. fibryna;-;-
filochinon;phytomenadione / phylloquinone;-;An obscure name for vitamin K1.
filogeneza;phylogenesis;-;The process of a formation of new taxonomic ranks.
filotaksja;phyllotaxis / phyllotaxy;- / phyllotaxes / phyllotaxies;Distribution of leaves on a plant.
filtrator;filter feeder;reg.;Any animal feeding via filtering out fine food particles from water.
fimbria;fimbria;fimbriae;A think, thread-like appendage of a bacterial cell or a tissue, allowing them adhesion or motility.
fiszbin;baleen;- / reg.;A structure used by some whales to filter feed.
fitocenoza;phytocenosis;phytocenoses;All plants on Earth.
fitochrom;phytochrome;reg.;Any substance changing its conformation after its exposure to light, thus allowing a plant, fungus or bacterium to react to light.
fitogeografia;phytogeography / botanical geography;-;The study of geographical distribution of plants.
fitohormon;phytohormone / plant hormone;reg.;Any plant-produced substance regulating a plant's growth or other life functions.
fitoncyd;phytoncide;reg.;Any substance produced by a plant inhibiting growth of microorganisms.
fitopatologia;phytopathology / plant pathology;-;The study of plant diseases.
fitoplankton;phytoplankton;- / reg.;Microscopic, photosynthesizing, water-dwelling organisms.
fitosocjologia;phytosociology / phytocoenology / plant sociology;-;The study of plant species usually growing near each other.
fitotron;phytotron;reg.;A room for plant cultivation for research.
fizjologia;physiology;-;The study of an organism's functioning.
fizjologiczny roztwór;zob. sól fizjologiczna;-;-
ulistnienie;zob. filotaksja;-;-
fitocenologia;zob. fitosocjologia;-;-
fitocenotyka;zob. fitosocjologia;-;-
flawonoid;flavonoid / bioflavonoid;reg.;Any organic, plant-produced substance acting as a dye, insecticide, fungicide or antioxidant.
floem;phloem;reg.;A plant tissue that transports nutrients in the plant's body.
flora;flora;-;All plant life, either native to a given area or simply occuring in a given area.
florigen;florigen / flowering hormone;reg.;A substance that, when produced by a plant, induces flowering of said plant.
florystyka;floristics;-;The study and registering of plants from a given area.
fluor;fluorine;-;A chemical element occuring in herbivore-detering plant-produced substances.
fluorescencja;fluorescence;-;The phenomenon of light emission by an object exposed to electromagnetic radiation.
mononukleotyd flawinowy;flavin mononucleotide / riboflavin-5'-phosphate / FMN;-;A cofactor or a prosthetic group of many enzymes.
faza folikularna;follicular phase / preovulatory phase / proliferative phase;-;A menstrual cycle phase ending with ovulation.
folikulotropina;follicle-stimulating hormone / FSH;-;A hormone essential for proper sexual maturation of the human organism.
formalina;formalin;-;A solution of formaldehyde often used in conservation of biological material.
forma przejœciowa;transitional form;reg.;An organism with traits of two related phyletic groups.
fosfagen;phosphagen / macroergic compound;reg.;Any phosphate compound capable of releasing large amount of energy, usually found in animal muscles.
fosfataza;phosphatase;reg.;Any enzyme catalysing the removal of a phosphate group from a molecule.
fosfoarginina;phospharginine;-;A phosphagen made up of a phosphate group and amino acid arginine.
fosfokreatyna;phosphocreatine / creatine phosphate;-;A substance storing phosphate groups in the cell.
fosfolipid;phospholipid / phosphatide;reg.;Any molecule with a long hydrophobic, lipid tail and a small, hydrophilic head.
hormon folikulotropowy;zob. folikulotropina;-;-
formy poœrednie;zob. formy przejœciowe;-;-
fosforoliza;phosphorolysis;- / phosphorolyses;A cleavage of a bond due to phosphate group attack.
obieg fosforu;phosphorous cycle;-;The continous transfer of phosphorous between nonliving and living environments.
fosforylacja fotosyntetyczna;photosynthetic phosphorylation;reg.;A process of ATP or GTP production via chloroplast activity.
fosforylacja oksydacyjna;oxidative phosphorylation;reg.;A process of ATP or GTP production with an oxygen molecule as the last electron acceptor.
fosforylacja substratowa;substrate-level phosphorylation;reg.;A process of ATP or GTP production via a transfer of a phosphate group from one molecule to another, without electron transport.
fosylizacja;fossilization;- / reg.;Processes leading to biological matter being turned into a fossil.
fotoautotrof;photoautotroph;reg.;Any autotrophic organism producing nutrients via light absorption.
fotobiologia;photobiology;-;The study of how light influences organisms.
fotoliza;photodissociation / photolysis / photodecomposition;- / photodissociations / photodecompositions;Any chemical reation in which light cleaves a bond, thus creating separate molecules.
fotonastie;photonasty;-;A movement of a plant in no particular direction due to light shining on said plant.
fotooddychanie;photorespiration / oxidative photosynthetic carbon cycle / C2 photosynthesis;-;Biochemical reactions of plant cells allowing the cell to salvage some carbon atoms via converting them to phosphoglycerate.
fotoperiodyzm;photoperiodism;- / reg. (rare);An organism's reaction to light changes through the day.
fotoreceptor;photoreceptor;reg.;A protein or a cell undergoing biochemical changes after its exposure to light, thus allowing an organism to react to light.
fotorespiracja;zob. fotooddychanie;-;-
fotosynteza;photosynthesis;- / photosyntheses;Biochemical processes requiring energy absorbtion from light that allow an organism to produce nutrients.
fotosystem;photosystem;reg.;The basic, photosynthesis-conducting, multimolecular unit.
fototaksja;phototaxis;- / phototaxes;Movements of an organism toward or away from light.
fototropizm;phototropism;- / reg.;Plant growth towards or away from the source of light.
fragmentacja;fragmentation / splitting;- / reg.;A type of reproduction in which an organism splits into smaller parts and new organisms are formed from the parts.
fragmoplast;phragmoplast;reg.;A plant cell structure dividing the cytoplasm during cytokinesis.
frakcjonowanie;fractionation;reg.;The separation of a part or parts of a mixture with properties different to the other parts.
freon;freon;reg.;Any haloorganic substance used as a refrigerant.
fruktoza;fructose / fruit sugar;-;A simple ketonic sugar common in fruit.
fukoksantyna;fucoxanthin;-;A brown xanthophyll.
fuksyna;fuchsine / fuchsin / rosalinde hydrochloride;-;A magenta-coloured substance used in staining, often in Gram staining.
fumigant;fumigant;reg.;Any pesticide dispersed as fumes.
fungicyd;fungicide;reg.;Any substance inhibiting growth of fungi.
funikulus;funiculus;funiculi;"A name of many rope-like structures of organisms; in mycology, a structure connecting the peridoles to the peridium of some fungi."
futro;fur;- / reg.;Thick coat of some animal species.
fylloidy;phylloid;reg.;A leaflike structure of algae.
gadokszta³tny;sauropsid;reg.;Any member of the Sauropsida clade, characterised by close relatedness to modern mammals.
gad;reptile;reg.;Any member of the Reptilia class, characterised by dry skin, often with epidermal structures formed.
gad ssakokszta³tny;zob. synapsyd;-;-
galaktoza;galactose;-;A simple sugar, an isomer of glucose.
galaktozemia;galactosemia;-;A disease caused by errors in galactose metabolism, often manifesting as jaundice.
zauropsyd;zob. gadokszta³tny;-;-
synapsyd;synapsid;reg.;"Any member of the Synapsida clade, characterised by having only one temporal fenestra in skull; sometimes the definition includes modern mammals too."
galas;gall / cecidium;galls / cecidia;An abnormal sphere-like growth on parts of a plant or a fungus.
galmanowe roœliny;calamine plant;reg.;A plant that requires a zinc-rich soil to grow.
gameta;gamete;reg.;Any reproductive cell that takes part in fertilisation.
gametangiogamia;gametangiogamy;-;A fusion of gamete-producing structures of some fungi.
gametangium;gametangium;gametangia;A gamete-producing cell, structure or an organ.
gametocyt;gametocyte;reg.;A gamete stem cell.
gametofit;gametophyte;reg.;A phase of plant or algal life cycle characterised by being haploid.
gamon;gamone;reg.;Any gamete-attracting substance excreted by a gamete of the opposite sex.
ganglionizacja;ganglionization;-;The concentration of nerves in the anterior region.
gangrena;gangrene;- / reg.;A necrosis caused by a restricted blood supply.
ganoid;ganoid;reg.;Any member of the Ganoidei clade of fish.
garbnik roœlinny;zob. tanina;-;-
gardziel;throat;reg.;The part of digestive tract connecting the mouth to the esophagus in vertebrates or a part of intestines of invertebrates.
gastrula;gastrula;reg. / gastrulae;A development stage of an embryo formed of two layers of cells.
tanina;tannin / tannoid;reg.;Any plant-produced polyphenol able to denaturate proteins.
gard³o;zob. gardziel;-;-
gastrulacja;gastrulation;reg.;The process of gastrula formation during embryonic development.
gastryna;gastrin;-;A hormone secreted by certain stomach, duodenum and pancreas cells, stimulating hydrochloride production.
gatunek;species;species;A group of organisms closely related in evolutionary sense to one another, capable of interbreeding and having offspring capable of reproducing.
g¹bki;sponge;reg.;Any member of the Porifera genus of animals, characterised by the lack of tissues.
g¹sienica;caterpillar;reg.;A moth or butterfly larva.
gen;gene;reg.;"A unit of heredity; a section of nucleic acid coding a protein or a trait."
gen dominuj¹cy;dominant gene;reg.;A gene variant deciding the phenotype in mendelian inheritance even if only one allele of said gene is present.
gen podzielony;interrupted gene / split gene;reg.;A gene consisting of both exons (coding sequences) and introns (non-coding sequences).
gen regulatorowy;regulator gene / regulator / regulatory gene;reg.;A gene controlling the expression of another gene or genes, e.g. a gene coding a repressor protein.
genetyka;genetics;-;The study of heredity, nucleic acids information and trait distribution.
genetyka populacyjna;population genetics;-;A branch of genetics dealing with trait distribution in populations and differences between populations.
genitalium;sex organ (plant or animal) / reproductive organ (plant or animal);sex organs (plant or animal) / reproductive organ (plant or animal) / genitals (especially external) / genitalia;An organ essential for the ability of an organism to reproduce.
genofor;genophore;reg.;The genetic material of procaryotes, equivalent of a chromosome.
genom;genome;reg.;"The complete genetic information of an organism; in eucaryotes usually a haploid chromosomal set."
genomika;genomics;-;The study of genomes and their analysis using mapping techniques.
genotyp;genotype;reg.;"The complete genetic material of an organism; in eucaryotes, both chromosomal sets."
terapia genowa;gene therapy / human gene transfer;-;Medical procedures of introducing a modified nucleic acids to a patient to cure or lessen the effects of a genetic disease.
gen modyfikator;modifier gene;reg.;A gene that modifies the expressivity or penetrance of another gene.
gen sprzê¿ony;linked gene;reg.;A gene whose allele is often inherited with an allele of another gene due to the closeness of their loci.
geofity;geophyte;reg.;Any plant able to survive a period of unfavourable conditions due to the presence of underground organs, such as tubers.
geotropizm;gravitropism / geotropism;reg.;A plant movement towards or away from the gravity-producing object.
giberelina;gibberellin;reg.;Any plant hormone that is chemically a diterpenoid acid essential for the regulation of many developmental processes of a plant.
gigantyzm;gigantism / giantism;-;The condition of having abnormally large height due to hormonal imbalances.
glaukofit;glaucophyte / glaucocystophyte / glaucocystid;reg.;A group of algae characterised by having peptidoglycan in their chloroplasts.
gleba;soil;reg.;A layer of Earth's crust formed due to weathering of rocks and other processes.
glej;zob. komórka glejowa;-;-
glewik;hornwort;reg.;Any member of Anthocerotophyta division, characterised by the formation of horn-like sporophytes.
glicerol;glycerol / glycerine / glycerin;-;A triol with three carbon atoms, each bonded with one hydroxyl group.
glicyna;glycine;-;A proteinogenic amino acid, the only non-optically active one.
glikogen;glycogen;-;Polimerised glucose, the storage form of glucose in animals.
glikogenogeneza;glycogenesis;-;The process of glycogen biosynthesis.
glikogenoliza;glycogenolysis;-;The process of breaking down of glycogen.
glikokaliks;glycocalyx / pericellular matrix;glycocalyxes / glycocalyces;A saccharide layer protecting animal cells.
glikokortykoid;corticosteroid;reg.;Any vertebrate hormone produced in the adrenal cortex involved in many physiological processes, such as the stress response.
glikolipidy;glycolipid;reg.;Any substance formed due to a glycosidic bond forming between a lipid and a carbohydrate.
sprzê¿enie genetyczne;genetic linkage;reg.;The phenomenon of inherentance of alleles of some genes together with an increased probability due to the closeness of their loci.
komórka glejowa;glial cell / glia / neuroglia;reg.;A non-conducting cell of the central nervous system which supports neurons.
gliceryna;zob. glicerol;-;-
kortykosteroid;zob. glikokortykoid;-;-
kortykosteryd;zob. glikokortykoid;-;-
glikokortykosteryd;zob. glikokortykoid;-;-
glikokortykosteroid;zob. glikokortykoid;-;-
glikoliza;glycolysis;-;The biochemical process in which pyruvate is formed from glucose.
glikoproteina;glycoprotein;reg.;Any protein with oligosaccharide chain connected to an amino acid by a glycosidic bond.
glikozydy;glycoside;reg.;Any substance formed by a linkage of its sugar and non-sugar part.
glikozydy nasercowe;cardiac glycoside;reg.;Any glycoside increasing the force of heart.
cykl glioksalowy;glyoxylate cycle;-;A type of Krebs cycle in plants.
glioksysomy;glyoxysome;reg.;A cell organelle of plants functioning similar to the peroxysome.
glista ludzka;giant roundworm / common roundworm;reg.;A common name of Ascaris lumbricoides, a parasitic nematode infesting humans.
globalne ocieplenie;global warming;-;The worldwide increase of average temperature.
globulina;globulin;reg.;Any blood protein belonging to a fraction of them with the molecular mass higher than the molecular mass of albumins.
glon;zob. alga;-;-
glukagon;glucagon;-;A hormone responsible for increasing blood glucose level.
glukoneogeneza;gluconeogenesis;-;The biochemical process in which glucose is formed from non-saccharide molecules.
glukoza;glucose;-;A common monosaccharide, often used by organisms as a source of energy.
gluten;gluten;-;A number of proteins found in seeds and products made using seeds that sometimes may cause an adverse reaction.
glutynant;glutinant;reg.;A type of cnidae in which the thread is covered with a viscous substance.
g³aszczek;palp;reg.;A part of the mouth of some arthropods.
g³aszczka;cell spreader / plate spreader;reg.;A laboratory tool used to evenly spread bacteria onto a Petri dish.
g³owa;head;reg.;An anatomical part of some animals, containing the brain.
g³owonogi;cephalopod / inkfish;cephalopods / inkfishes / inkfish;Any member of the Cephalopoda class, comprised of marine mollusks.
cykl glioksylanowy;zob. cykl glioksalowy;-;-
cykl glioksalanowy;zob. cykl glioksalowy;-;-
cykl kwasu glioksalowego;zob. cykl glioksalowy;-;-
cykl Krebsa-Kornberga;zob. cykl glioksalowy;-;-
g³owotu³ów;cephalothorax / prosoma;cephalothoraxes / cephalothoraces / prosomas / prosomata;A tagma in arthropods, consisting of the merged head and thorax.
gniazdownik;altricial species;altricial species;An animal species in which parents take care of their children and the children are not able to survive on their own after birth.
gnicie;putrefaction;-;The process by which an organism degrades after its death due to microbal activity.
gnida;nit;reg.;A louse egg.
gnilec;zob. szkorbut;-;-
gonada;gonad / sex gland / reproductive gland;reg.;A germ cells-producing organ.
gor¹czka b³otna;leptospirosis;leptospiroses;A bacterial disease caused by L. grippotyphosa, affecting both humans and animals.
gor¹czka plamista gór skalistych;spotted fever;-;"A disease spread by ticks, caused by Rickettsia bacteria, causing typhus-like symptoms; there are different geographical variants of said disease."
gor¹czka Q;Q fever / query fever;-;A disease caused by Coxiella burnetii bacterium infection, manifesting as flu-like symptoms.
gradient;gradient;reg.;A smooth transition between varying values of a certain phisical or chemical parameter, like temperature, conentration or light level.
barwienie grama;Gram's method / Gram stain / Gram staining;-;A method of bacterial cells staining that is able to differentiate their outer structures.
gramocz¹steczka;gram atomic mass;-;An old term for the mass of one mole of a substance.
granum;granum;grana;A rounded stack of thylakoids inside a chloroplast.
granulocyt;granulocyte / polymorphonuclear leukocyte;reg.;White blood cells with granules containing antimicrobal substances inside.
granulocyt kwasoch³onny;zob. eozynofil;-;-
granulocyt obojêtnoch³onny;zob. neutrofil;-;-
gruczo³ p³ciowy;zob. gonada;-;-
gruczo³ rozrodczy;zob. gonada;-;-
leptospiroza;zob. gor¹czka b³otna;-;-
opistosoma;opisthosoma;reg. / opisthosomata;The posterior portion of a chelicerate's body.
granulocyt zasadoch³onny;zob. bazofil;-;-
granulopoeza;granulopoiesis / granulocytopoiesis;- / granulopoieses / granulocytopoieses;The process through which granolocytes differentiate.
graptolity;graptolite;reg.;Any member of the now-extinct Graptolithina subclass of hemichordates.
grasica;thymus;thymi;An important organ of the immune system in which T cells mature.
gr¹d;broadleaf forest / hornbeam-oak forest;reg.;A forest with different non-conifer tree species growing, the most dominant being oak and hornbeam trees.
grono;raceme / racemoid;reg.;A type of inflorescence with flowers growing from a common axis.
gruŸlica;tuberculosis / consumption;-;A disease caused by Mycobacterium tuberculosis bacterial infection, usually manifesting as chest pain and a cough.
gruczo³;gland;reg.;In animal anatomy, a structure or cell type that produces substances, often hormones, that are to be secreted into the blood stream or out of the body.
gruczo³ krokowy;zob. prostata;-;-
gruczo³ kuprowy;uropygial gland / preen gland / oil gland;reg.;A gland found at the base of the tail of most birds, producing substances protecting feathers from water.
gruczo³ protorakalny;protoracal gland;reg.;A gland found in insect larva, located in the protothorax. It excretes ecdysones, that take part in the malting process.
gruczo³ dokrewny;endocrine gland;reg.;A gland that has no duct, and thus secretes substances directly into the blood stream.
gruczo³ Hardera;Harderian gland;reg.;A gland located in the eyes of some vertebrates, supporting the lacrimal gland.
gruczo³ jadowy;venom gland;reg.;A venom-producing gland of some animal.
gruczo³ ³zowy;lacrimal gland;reg.;A tears-producing gland.
gruczo³ mlekowy;mammary gland;reg.;A milk-producing gland of mammals.
gruczo³y wydzielania zewnêtrznego;exocrine gland;reg.;A type of gland that excretes a substance through a duct onto a surface.
stafylokok;zob. gronkowiec;-;-
stafilokok;zob. gronkowiec;-;-
gruczo³ przed³u¿eniowy;zob. gruczo³ protorakalny;-;-
grupa prostetyczna;prosthetic group;reg.;A non-amino acid part of a protein that is covalently bonded with the amino acid chain.
grupy krwi;blood type / blood group;reg.;A way of divising blood based on the presence of antigens on red blood cells and other blood cells.
grypa;influenza / the flu;-;A disease caused by influenza virus infection, manifesting as fever and cough.
gryzoñ;rodent;reg.;Any member of the Rodentia class, comprised of mammals with prominent, forever-growing incisors.
grzybica;mycosis;mycoses;An animal disease caused by a fungal infection.
grzybnia;mycelium;mycelia;A vegetative mass of cells forming the body of a fungus formed due to the fungus's hyphae connecting to each other.
grzyb;fungus;reg. / fungi;Any member of the Fungi kingdom, comprised of organisms having cell walls with chitin.
grzyby niedoskona³e;-;fungi imperfecti / imperfect fungi;A division of the Fungi kingdom containing species of fungi that are hard classify into other taxons.
grzyby owocnikowe;mushroom-forming fungus (informal);mushroom-forming fungi (informal);Any fungus species that can produce fruit bodies.
guanina;guanine;-;A nucleobase.
guano;guano;- / reg. / guanoes;The excrement of sea birds or bats, often used as a fertilizer.
guanozynotrifosforan;guanosine triphosphate;-;Guanine connected with ribose connected to three phosphate groups, often used in molecular signalling.
gutacja;guttation;- / reg.;"The phenomenon of the excretion of water solution droplets by a plant or a fungus; in case of the plant, often trough leaves."
gynandromorf;gynandromorph;reg.;Any organism with sex characteristics of both sexes, e.g. a butterfly.
gynogeneza;gynogenesis;-;The development of an egg cell into a daughter organism due to a presence of sperm cells of another species, without fertilization occuring.
œrodowisko ¿ycia;habitat;reg.;The biotic and abiotic components comprising an organisms natural environment.
habituacja;habituation;- / reg.;The phenomenon of exhibiting decreased response to a repeated stimulus.
mykoza;zob. grzybica;-;-
pseudogamia;zob. gynogeneza;-;-
prawo Haeckla;zob. prawo biogenetyczne;-;-
halofity;halophyte;reg.;A plant that tolerates high concentrations of salt in the soil.
inhibicja kompetycyjna;competitive inhibition;reg.;A type of inhibition in which an inhibitor binds to an enzyme's active site.
inhibicja kontaktowa;contact inhibition;reg.;A phenomenon in which a cell stops growing or dividing when it touches another cell.
haplofaza;haplophase;reg.;A phase of an organism's life cycle in which it has only one chromosome set.
haploid;haploid;reg.;An organism with a single chromosome set.
hapten;hapten;reg.;A small molecule that stimulates a response of an immune system only when it is bonded to a larger molecule.
prawo Hardy´ego-Weinberga;Hardy-Weinberg principle;-;A principle denoting allele distribution within a population when there are no forces that may influence said distribution present.
haustorium;zob. ssawka;-;-
heksoza;hexose;reg.;A carbohydrate with six carbon atoms.
heliofity;heliophyte / sunstroke plant;reg.;A plant that tolerates high insolation.
heliotermy;heliotherm;reg.;An animal, often a lizard, that uses sun as the main source of heat.
helisa;helix;helixes / helices;"A cockskrew-like figure; the DNA is a double helix."
helmintologia;helminths;-;The study of parasitic worms.
helofity;zob. roœliny œwiat³olubne;-;-
inhibicja konkurencyjna;zob. inhibicja kompetycyjna;-;-
hamowanie kontaktowe;zob. inhibicja kontaktowa;-;-
