TERMIN-POL;TERMIN-ANG-SIN;TERMIN-ANG-PLU;DEFINICJA
ssawka;haustorium;haustoria;A plant or fungal structure allowing an organism to absorb nutrients from another organism.
kana³ oœrodkowy osteonu;zob. kana³ Haversa;-;-
hem;heme / haem;-;A porphyric ring with an iron ion, the prosthetic group of haemoglobin.
hematofag;hematophage;reg.;An animal feeding on another animal's blood.
hematokryt;hematocrit;- / reg.;A parameter measuring how dense blood is.
hemicelulozy;hemicellulose / polyose;reg.;Any amorphously-structured heteropolymer that builds plant cell walls together with cellulose.
hemikryptofit;hemicryptophyte;reg.;A plant species budding close to the soil surface.
hemimetabolia;hemimetaboly / hemimetabolism / incomplete metamorphosis / paurometabolism;-;A type of insect development with no pupal stage in an insect's life cycle.
hemocel;hemocoel;reg.;A cavity in a body of an arthropod with an open circulatory system in which blood is collected.
hemocyjanina;hemocyanin / haemocyanin;reg.;A copper-containing substance transporting oxygen in the blood of some animals
hemoerytryna;hemerythrin / haemerythrin;-;An oxygen-transporting substance of some animals that does not contain heme.
hemofilia;haemophilia;-;A disorder of blood clotting leading to bleeding a long time even after a minor injury.
hemoglobina;hemoglobin / haemoglobin;-;An iron-containing substance transporting oxygen in vertebrates.
hemoglobinopatia;hemoglobinopathy;reg.;Any red blood cell-affecting disease.
hemolimfa;haemolymph / hemolymph;-;A substance circulating in an arthropod's body.
hemoliza;haemolysis / hemolysis;- / haemolyses / hemolyses;The lysis of a red blood cell.
hemolizyna;hemolysin / haemolysin;reg.;A substance breaking the plasma membrane of a red blood cell, thus causing its lysis.
heparyna;heparin / unfractioned heparin;-;A blood anticoagulant often used as medication.
hepatocyt;hepatocyte;reg.;A liver cell.
herbicydy;herbicide /weedkiller;reg.;A substance inhibiting plant growth, either of few selected species or almost every plant.
hermafrodytyzm;hermaphroditism;-;The ability of an organism, usually an animal, to produce both types of germ cells.
przeobra¿enie niezupe³ne;zob. hemimetabolia;-;-
herpetologia;herpetology;-;The study of amphibians.
hesperydyna;hesperidin;-;An organic substance found in citrus fruits acting as an antioxidant.
heterobatmia;heterobatmy;reg.;The phenomenon of male and female parts of a n androgynous flower reaching maturity in different time periods.
p³etwa heterocerkiczna;heterocercal fin;reg.;A caudal fin with a longer upper lobe due to vertebrae extending to it.
heterochromatyna;heterochromatin;-;A tight, not transcribed DNA of a nucleous.
zwi¹zek heterocykliczny;heterocyclic compound;reg.;A cyclic compound with atoms of elements other than carbon present in a ring.
heterocysta;heterocyst;reg. / heterocystes;A cyanobacteria cell able to fix nitrogen.
heterofilia;heterophylly;-;The presence of differently-shaped leaves on a plant.
heterogamia;heterogamy;- / reg.;A type of fertilization in which gametes are shaped differently from one another.
heterogonia;heterogony;- / reg.;The presence of differently-shaped flowers on a plant.
heteroksenicznoœæ;heteroxeny / heteroxenous development;-;The occurence of more than one host in a parasite species' life cycle.
heterometabolia;zob. hemimetabolia;-;-
heteromorficzna przemiana pokoleñ;heteromorphic alternation of generations / anisomorphic alternation of generations;-;A type of life cycle typical to land plants in which two generations - the gametophyte and sporophyte are distinct from one another.
segmentacja heteronomiczna;heteronomous segmentation;-;A type of segmentation in animals in which each segment is distinct, unlike in e.g. earthworms.
heterosom;heterosome;reg.;The pair of chromosomes of a diploid organism that is different in each sex.
heterostylia;heterostyly;-;The condition of multiple flower types being present within a plant species, differing in pistil and stamen length.
organizm heterotroficzny;heterotroph / heterotrophic organism;reg.;An organism that is unable to produce all the required substances but has to consume organic compounds instead.
heterotrof;zob. organizm heterotroficzny;-;-
heterozygota;heterozygote;reg.;An organism with different alleles of one gene in its genotype.
hialoplazma;hyaloplasm;- / reg.;A loose, unstructured by proteins portion of cytoplasm found deeper into a cell.
hibernacja;hibernation;-;A state in which an animal lowers its metabolic rate to withstand prolonged unfavourable conditions, often low temperature.
higiena;hygiene;- / reg.;Practices preventing pathogen spread in day-to-day life.
higrofity;hygrophyte;reg.;A plant thriving in a moist environment.
higroskopijnoœæ;hygroscopy;-;The ability to take in water from the environment of some substances, e.g. sugar.
hipermetamorfoza;hypermetamorphosis;- / hypermetamorphoses;A type of insect metamorphosis with distinct larval stadia between moults.
hiperpaso¿yt;hyperparasite;reg.;A parasite infesting other parasites.
hiperpolaryzacja;hyperpolarization;reg.;A change in cell membrane polarization that makes it more negative, essential in neuron signal transmission.
hipertermia;hyperthermia / overheating;- / reg.;The condition of having elevated body temperature.
roztwór hipertoniczny;hypertonic solution;reg.;A solution with a higher concentration of a solute or solutes than a cell.
hipogeiczne kie³kowanie;hypogeal germination;- / reg.;A type of germination in which cotyledons stay below the ground.
hipokamp;hippocampus;hippocampi;A part of the brain responsible for proper memory formation.
hipostaza;hypostasis;- / hypostases / hypostaseis;The phenomenon in which a gene's trait is not expressed due to an activity of another gene.
hipotermia;hypothermia;- / reg.;The condition of having lowered body temperature.
hipoteza;hypothesis;hypotheses;A supposition checked during research.
hipotoniczny roztwór;hypotonic solution;reg.;A solution with a lower concentration of a solute or solutes than a cell.
hirudyna;hirudin;-;A substance preventing blood from clotting produced by leeches.
histamina;histamine;-;An organic substance involved in immune response.
histologia;histology / microscopic anatomy / microanatomy;-;The study of microscopic structure of tissues.
histon;histone;reg.;Any eukaryotic DNA-binding protein that allows for thight packaging of DNA.
ludzki wirus niedoboru odpornoœci;human immunodeficiency virus;-;A virus causing AIDS.
g³ówny uk³ad zgodnoœci tkankowej;major histocompatibility complex / MHC;-;Proteins and genes that code them thatare involved in transplant rejection.
holenderska choroba wi¹zów;Dutch elm disease;-;A fungal disease of elms that causes withering.
holoenzym;holoenzyme / haloenzyme;reg.;"A fully operational molecule of an enzyme; an apoenzyme together with its cofactors."
gruczo³ holokrynowy;holocrine gland;reg.;A gland secreting its substance via the rupture of its cells.
holometabolia;holometabolism;-;A type of insect life cycle in which a pupal stage is present.
holozoiczny sposób od¿ywiania;holozoic nutrition;-;A type of nutrition in which food in liquid or solid state is digested and assimilated.
homeostaza;homeostasis;homeostases;The maintenance of a biological system's internal parameters.
hominidy;great ape / hominid;reg.;Any member of the Hominidae family, comprised of primates such as orangutans.
p³etwa homocerkiczna;homocercal fin;reg.;A type of caudal fin in which the vertebrae extend vey shortly on one part of the fin, thus making it slightly asymmetrical.
homogenat;homogenate;reg.;A mixture obtained by the grinding or finely cutting biological samples.
grafioza wi¹zu;zob. holenderska choroba wi¹zów;-;-
przeobra¿enie zupe³ne;zob. holometabolia;-;-
homojotermicznoœæ;homoyothermy;-;The state of being warm-blooded.
narz¹d homologiczny;homologous organ;reg.;An organ of the same evolutionary origin as another organ.
homozygota;homozygote;reg.;An organism with the same alleles of a given gene on both chromosomes.
hormon juwenilny;juvenile hormone;reg.;A hormone produced only by a non-adult insect.
hormon wylinkowy;zob. ekdyzon;-;-
hormon;hormone;reg.;Any physiology-regulating substance produced by a multicellular organism that works in low concentrations.
hormony peptydowe;peptide hormone / protein hormone;reg.;A hormone built of amino acid chains.
hormon roœlinny;zob. fitohormon;-;-
hormony sterydowe;steroid hormone;reg.;A hormone built of sterole, a four-ringed organic compound.
hormony tkankowe;tissue hormone;reg.;A hormone regulating an organ, produced in said organ or close by.
hormony tropowe;tropic hormone;reg.;A hormone regulating a hormone-producing gland.
huba;polypore / conk / bracket fungus;polypores / conks / bracket fungi;Any fungus growing on tree trunks with a semicircular morphology of its fruit body.
humus;humus;- / reg. (rare);Organic remains found in the soil.
hybryda;hybrid;reg.;An offspring whose parents were of different species.
hybrydyzacja;hybridization;- / reg.;In genetics, the process of double-stranded DNA formation due to complimentary base pairing.
hydatody;hydathode;reg.;A pore through which the plant is able to excrete excess water.
hydrobiologia;hydrobiology;-;The study of water-dwelling organisms.
hydrochoria;hydrochory;-;A type of seed dispersal occuring via a movement of seeds by water.
wodosiewnoœæ;zob. hydrochoria;-;-
hydrofilnoœæ;hydrophilicity;-;The state of a molecule being attracted to water.
hydrofit;aquatic plant / macrophyte / hydrophyte;reg.;A plant thriving in water environment, e.g. a lily.
hydrofobowa substancja;hydrophobicity;-;The state of a molecule being repulsed from water.
hydrolaza;hydrolase;reg.;Any enzyme catalysing the cleavage of a chemical bond using water molecule.
hydroliza;hydrolysis;- / hydrolyses;A breakdown of a substance due to its reaction with water.
hydroponika;hydroponics;-;A technique of plant cultivation without soil, using water nutrient solutions instead.
czaszka hyostyliczna;hyostylic skull;reg.;A skull with mandible connected to the rest of the skull by a special suspensorium, typical to fishes.
hypokotyl;hypocotyl;reg.;A stem appearing during germination.
ichtiologia;ichthyology;-;The study of fish.
idioadaptacja;idioadaptation;-;A type of adaptation in which an organism gets more adjusted to one environment while getting less adjusted to another one.
idioblast;idioblast;reg.;A cell found in plant tissue that is distinct from most of said tissue's cells.
roœlina iglasta;conifer;reg.;Any member of the Pinophyta class, characterised by the presence of needle-shaped leaves.
ikra;roe / hard roe;-;Fish egg cells.
iloczyn rozpuszczalnoœci;solubility equilibrium;reg. / solubility equilibria;A chemical parameter describing how much of a substance can be solute or solid.
imago;imago;imagines / imagoes;An adult stage of the insect's life cycle.
imbibicja;imbibition;-;The increase of a colloid's volume due to diffusion, e.g when seeds absorb water.
immunogennoœæ;immunogenicity;- / reg.;The ability of a molecule to induce immune response.
immunoglobulina;immunoglobulin / antibody;reg.;A protein binding to an antigen.
roœlina wodna;zob. hydrofit;-;-
uprawa hydroponiczna;zob. hydroponika;-;-
kultura wodna;zob. hydroponika;-;-
immunologia;immunology;-;The study of the immune system and response.
immunosupresja;mmunosuppression;- / reg.;A reduction in the immune system's activity.
implantacja;implantation;- / reg.;The process of fertilized egg cell's penetration of the mucous membrane of the uterus.
imprinting;imprinting;-;Different methylation of a gene's allele depending on which parent was it inherited from.
impuls;impulse;reg.;A depolarisation of the cell membrane of a neuron allowing for signal conveying.
indeks mitotyczny;mitotic index;-;The ratio between cells undergoing mitosis to all studied cells of a sample or an organism.
indolilooctowy kwas;indoleacetic acid;-;The most common auxin, a plant hormone.
indukcja;induciton;-;In biology, the onset of a process caused by a stimulus.
indukcja enzymatyczna;enzyme induction;-;The stimulation of the expression of an enzyme-coding gene by an inducer molecule.
induktor;inducer;reg.;A molecule stimulating the expression of a given gene.
infekcja;zob. zaka¿enie;-;-
informosom;informosome;reg.;A nonribosomal complex of mRNA and protein found in some animal and plant cells.
inhibicja;inhibition;- / reg.;The lowering of a rate of a process, especially an enzymatic reaction.
inkrustacja;incrustation;-;An addition of substances into the cell wall of a plant cell.
inkubacja;incubation;- / reg.;The period in which a biological sample is held in certain conditions.
inoculum;inoculum;- / reg. / inocula;The introduction of bacterial culture into a sterile medium or an antigen into an organism, or bacteria or antigens thus introduced.
insektycydy;insecticide;reg.;Any insect-killing substace.
insercja;insertion;reg.;An introduction of an extra nucleoside into the DNA strand or an introduction of an extra amino acid to a protein.
instynkt;instinct / innate behavior;reg.;A behavior an ability to perform which an animal is born with.
insulina;insuline;-;An important hormone regulating blood sugar level.
interfaza;interphase;reg.;The stage of a cell's life cycle in which it prepares for division.
interferon;interferon;reg.;Any protein made by a virus-infected cell that serves to induce a defense response in nearby cells.
merystem interkalarny;intercalary meristem;reg.;A meristem located within a plant's stem.
intermedyna;zob. melanotropina;-;-
interoreceptor;interoreceptor;reg.;A receptor detecting changes in the body's internal conditions.
interstycjalne komórki;interstitial cell;reg.;Any cell between operational cells of a tissue, often supporting these cells.
intron;intron;reg.;A noncoding part of the DNA found withing a gene.
intyna;intine;reg.;The inner wall of a pollen grain or a plant spore.
inulina;inulin;reg.;Any plant-produced fructose polymer belonging to the fructan group.
inwaginacja;invagination;- / reg.;A process leading to the differentation of germinal layers in embrionic development, starting as a folding of part of the blastula.
inwersja;inversion;reg.;A turnaround of a portion of a DNA strand.
in¿ynieria genetyczna;genetic engineering / genetic manipulation / genetic modification;-;An introduction of new genetic information to an organism.
izoenzym;isoenzyme;reg.;An enzyme catalysing the same reaction as another enzyme but having a different sequence.
izogamia;isogamy;-;Sexual reproduction occuring with two similar gametes.
izolacja;isolation;-;In biology, the act of obtaining a substance, an organelle or another part of an organism or a mixture so that little to no impurities are present. In genetics, a reduction of gene flow between populations or within a population.
izolecytalne jajo;isolecithal egg;reg.;An egg cell with an equal distribution of yolk.
izomerazy;isomerase;reg.;Any enzyme catalysing a structural change of a molecule.
izomery;isomer;reg.;A substance with the same number of atoms in its molecule as another substance, but with a different structure.
izometryczny skurcz;isometric contraction;reg.;A change in a muscle's tension with no change of its length.
izomorficzna przemiana pokoleñ;isomorphic alternation of generations;reg.;A type of alternation of generations in which the haploid and diploid organisms are identical in their appereance.
roztwór izotoniczny;isotonic solution;reg.;A solution with the same concentration of a solute as a cell.
izotoniczny skurcz;isotonic contraction;reg.;A change in a muscle's length with no change of tension within it.
izotropowa substancja;isotropic substance;reg.;Any substance with amorphous structure.
narz¹d jacobsona;vomeronasal organ / VNO / Jacobson's organ;reg.;An olfactory organ of some animals, non-functional in humans.
jad kie³basiany;botulinum toxin;-;A substance produced by some Clostridium bacteria species, the most potent toxin known.
jagoda;berry;reg.;A fruit with no endocarp, such as a banana.
jajeczkowanie;zob. owulacja;-;-
jajnik;ovary;reg.;An egg cell-producing organ.
jajo;egg;reg.;"A structure containing the zygote; sometimes, an egg cell."
jajorodnoœæ;oviparity;-;A type of organism development occuring outside a mother's organism, in an egg.
jajowód;Fallopian tube / uterine tube / oviduct / salpinx;Fallopian tubes / uterine tubes / oviducts / salpinges / salpinxes;A duct through which the ovum travels to the uterus.
jajo¿yworodnoœæ;ovoviviparity / ovivipary / aplacental vivipary / ovovivipary;-;A type of organism development in which the egg is placed within a mother's organism.
jama ch³on¹co-trawi¹ca;zob. jama gastralna;-;-
jama cia³a;body cavity;reg.;A space inside an organism's body, such as the cranial cavity of humans.
jama paragastralna;spongocoel / paragaster / paragastric cavity;reg.;The central cavity in sponges, used for feeding.
j¹derko;nucleolus;nucleoli;A small structure inside a cell's nucleous essential for ribosome formation.
j¹dro;testicle / testis;testicles / testes;A sperm cell-producing organ.
j¹dro komórkowe;nucleus;nuclei;In biology, a DNA-containing organelle of the eukaryotes. In chemistry, the center part of the atom.
¿yworodnoœæ lecytroficzna;zob. jajo¿yworodnoœæ;-;-
Spongocel;zob. jama paragastralna;-;-
jama gastralna;gastrovascular cavity;reg.;A cavity in the body of some flatworms and cnidarians in which food digestion is conducted.
celenteron;zob. jama gastralna;-;-
jednodomowoœæ;zob. monokesnicznoœæ;-;-
jednokomórkowce;unicellular organism;reg.;An organism formed of a single cell, e.g. a bacterium.
jednoliœcienne roœliny;monocotyledon / monocot;reg.;A plant with only one cotyledon forming during germination.
roœlina jednopienna;monoicous plant;reg.;A plant in which the same organism produces both sperm cells and egg cells.
jednoplechowoœæ;homotallism;-;The ability of a fungus to grow both male and female gametangia on the same thallus.
jednostka motoryczna;motor unit;reg.;A motor neuron and all muscle fibers supplied by it.
jelito;intestine / bowel;reg.;A tube-like tract in which food is absorbed.
jelito cienkie;small intestine;reg.;An intestine in which nutrients from food are absorbed.
jelito grube;large intestine;reg.;An intestine in which water from food is absorbed.
jelito œlepe;cecum / caecum;ceca / caeca;The beginning of the large intestine.
je³czenie;rancidification;-;The oxidation or hydrolysis of fatty acids due to microbal or chemical activity.
jodopsyna;iodopsin;-;A violet pigment essential for proper day vision.
jodyna;iodine tincture / tincture of iodine / weak iodine solution;-;Iodine dissolved in potassium iodide and ethanol.
jura;the Jurassic;-;A geologic period that started 201.3 years ago and lasted 56 million years.
kalcyferol;calciferol;-;An obscure name for vitamin D.
roœlina kalcyfilna;calciole / calciphyte / calciphile;reg.;A plant thriving in calcium-rich soil.
leiszmanioza;leischmaniasis;-;A disease caused by Leischmania parasites manifesting as ulcers and a fever.
kalcytonina;calcitonin;-;A hormone reducing blood calcium level.
kaliptra;zob. czapeczka korzeniowa;-;-
kaloria;calory;reg.;A measure of how much energy does a food provide to an organism.
kaloza;callose;-;A plant-produced substance synthesized in response to damage.
kalus;callus;reg. / calli;A plant tissue formed in response to damage.
ka³;excrement;- / reg. / faeces / feces;An unabsorbed portion of food formed in the large intestine.
kambium;cambium;reg. / cambia;A plant tissue formed of undifferentiated cells.
kambr;the Cambrian Period;-;The geological period starting the Paleozoic Era.
komórka kamienna;zob. sklereid;-;-
kanalik krêty;convoluted tubule;reg.;The parts of a nephron, where water is reabsorped.
kana³ Haversa;Haversian canal / canal of Havers;reg.;A canal in the middle of an osteocyte through which blood vessels and nerves supply the osteocyte.
kana³ jonowy;ion channel;reg.;A protein allowing for transmembrane ion transportation.
kana³y pó³koliste;semicircular canal / semicircular duct;reg.;An inner ear canal allowing to sense rotary movements of the body.
kancerogen;carcinogen;reg.;Any substance or factor that makes cancer more probable to appear.
kangur;kangaroo;reg.;Any member of the Macropodidae family, characterised by the presence of a pouch in which newborn offspring develop.
kanibalizm;cannibalism;- / reg.;Consumption of members of the same species.
kapacytacja;capacitation;- / reg.;The process by which sperm cells mature.
kapilarnoœæ;capillary action / capillarity / capillary motion / capillary effect / wicking;-;The phenomenon in which liquid moves by itself in a narrow space.
kapilary;zob. naczynia w³osowate;-;-
kapsyd;capside;reg.;The protein cover of a virion.
karapaks;carapace;reg.;A hard structure covering a portion of an animal, such as the turtle.
karbaminohemoglobina;carbaminohemoglobin / carbaminohaemoglobin / carbhemoglobin / carbohemoglobin;-;Hemoglobin bonded with carbion dioxide.
karbamoilofosforan;carbamoyl phosphate;-;An organic substace essential for urea biosynthesis.
karboksyhemoglobina;carboxyhemoglobin / carboxyhaemoglobin;-;Hemoglobin bonded with carbon monoxide, thus unable to transport oxygen.
karboksylacja;carboxylation;reg.;An addition of a carbon dioxide molecule to another molecule.
karbon;the Carboniferous;-;A geologic period in which many of today's carbon deposits were formed.
kariogamia;karyogamy;- / reg.;The fusion of two cell nuclei.
kariokineza;karyokinesis;- / karyokineses;An outdated term for the mitosis.
kariolimfa;nucleoplasm / karyoplasm / karyolymph / nucleus sap;-;The substance enclosed in a nucleus.
kariologia;karyology;-;The study of the cell nucleus.
kariotyp;karyotype;reg.;The structure and number of chromosomes of an organism.
kar³owacenie;dwarfing;-;A proces in which organisms of a certain population of become smaller than usuall, by their species standards.
karotenoidy;carotenoid / tetraterpenoid;reg.;A group of yellow to red pigments important for photosynthesis.
karoten;carotene / carotin;reg.;Any plant-synthesized fourty-carbon photosynthetic pigment.
karpogonium;carpogonium;carpogonia;A specialised red algae reproductive organ.
karpologia;carpology;-;The study of fruits.
karposporofit;carposporophyte;reg.;A small sporophyte of red algae growing on the algae's gametophyte.
nukleoplazma;zob. kariolimfa;-;-
zespó³ Kartagenera;Kartagener syndrome;-;A genetic condition resulting in an inhibited action of the respiratory system's cilia.
kastracja;castration / orchiectomy / orchidectomy;- / reg.;The removal of testicles.
katabolizm;catabolism;- / reg.;The portion of metabolism resulting in energy release.
ryby katadromiczne;catadromous fish;catadromous fish;A fish that migrates from fresh water to salt water to breed.
katalaza;catalase;-;An enzyme catalysing the reaction of hydrogen peroxide decomposition.
kataliza;catalysis;- / catalyses;The increase in a reaction's speed due to the presence of non-reacting substance in the mixture.
katalizator;catalyst;reg.;A substance increasing a reaction's speed when present.
katalizator ujemny;negative catalyst;reg.;An obscure term for inhibitor.
katarobiont;catarobiont;reg.;An organism used to living in cold, fresh and oxyganated water.
kation;cation;reg.;A positively-charged atom or a molecule.
kaulifloria;cauliflory;-;The formation of flowers and fruits directly from the main stem instead of from new shoots.
kazeina;casein;- / reg.;Any micelle-forming protein found in milk.
k¹dzio³kek przêdny;spinneret;reg.;An organ by which spiders can create their webs.
era kenozoiczna;the Cenozoic Era;-;The current geological era.
keratyna;keratin;-;A protein making up many epidermal structures of animals.
choroba dekompresyjna;decompression sickness / divers' disease / aerobullosis / caisson disease;-;A condition caused by a rapid decrease of pressure as during ascending while diving.
ketoza;ketosis;- / ketoses;The condition of having too many ketone bodies in the organism.
kielich;calyx;calyces;In botany, the outermost part of the flower, often green, unlike petals.
kie³ek;sprout;reg.;A very early stage of plant development.
kie³kowanie;sprouting;reg.;The process of plant development in which a sprout forms from a seed.
kieszonka skrzelowa;pharyngeal pouch;reg.;A structure formed in vertebrates' embryonic development from which some other organs form.
kifoza;kyphosis;- / kyphoses;An abnormal curvature of the spine so that it is too convex or a normally-occuring convex curvature of the vertebra.
kijanka;tadpole;reg.;A larval stage of the amphibian life cycle.
ki³a;syphilis;-;A sexually transmitted disease caused by Treponema pallidum bacterium infection, manifesting as ulcers and rash.
kimograf;kymograph / kymographion;reg.;A device used to plot movements or changes of pressure in an organ.
kinaza;kinase;reg.;Any enzyme catalysing the reaction of a phosphate group transfer from one molecule to another.
kinetochor;kinetochore;reg.;A protein complex forming on a chromosome's centromere essential for a proper division of the chromosome.
kinetosom;basal body / basal granule / kinetosome / blepharoplast;reg.;A protein complex at the base of a cilia or a flagellum of an eukaryotic organism allowing it to move properly.
kinetyna;kinetin;-;The first isolated cytokinin.
klatka piersiowa;thoracic cage;reg.;The structure formed by the ribs and the sternum.
klejnotka;zob. euglenina;-;-
cia³ko podstawowe;zob. kinetosom;-;-
kleszcz;tick;reg.;Any member of the Ixodida order of hematophagic arachnids.
klimaks;climax community / climatic climax community;reg.;A disused term describing a community of organisms that is in a steady state in a given environment.
kloaka;cloaca;cloacae;An orifice ending the digestive, the reproductive and the urinary tracts of some animals.
klon (genetyka);clone;reg.;A cell or an organism being genetically identical to another one.
klonowanie;cloning;- / reg.;The act of creating a clone, either naturally or artificially.
k³¹cze;rhizome / creeping rootstalk / rootstalk;reg.;A modified plant stem located underground from which new shoots can grow, sometimes serving as a storage organ.
k³êbuszek nerkowy;glomerulus;glomeruli;An intertwined mass of blood vessels of a renal corpuscule.
k³os;ear;reg.;A type of inflorescense in which thightly-packed flowers grow from the main, axial stem.
k³y;fang;reg.;A pointed, often curved tooth of some animals.
k³ykieæ potyliczny;occipital condyle;reg.;A small protubered bone of the back portion of the skull.
knidoblast;zob. knidocyt;-;-
koacerwat;coacervate;reg.;A droplet of a liquid in a liquid-liquid colloid.
koagulacja;coagulation / clotting;-;The process by which blood solidifies.
kobalamina;cobalamin;-;An obscure term for vitamin B12.
pr¹tek Kocha;Koch's bacillus;-;A term for Mycobacterium tuberculosis bacteria species named after its discoverer.
kod genetyczny;genetic code;-;Molecular rules by which genetic information is conveyed, such as a triplet coding an amino acid.
kodominacja;co-dominance / codominance;-;A phenomenon in which a heterozygote has a phenotype distinct from a recessive or a dominant homozygote.
menopauza;menopause;- / reg.;The period of a woman's life in which her menstrual cycle stops.
knidocyt;cnidocyte;reg.;A cell of cnidarian body from which a stinger shoots.
kodon;codon;reg.;A portion of a nucleic acid coding for one amino acids (three base pairs).
kodon nonsensowny;nonsense codon;reg.;A stop codon inserted by a mutation or, rarely, occuring naturally.
koenzym;coenzyme;reg.;An enzyme made up of a protein nad a cofactor.
koenzym a;coenzyme A;-;An important coenzyme involved in fatty acids metabolism and Krebs cycle.
koenzym q;zob. ubichinon;-;-
koewolucja;coevolution;- / reg.;An evolution of two or more species in such a way that the evolution of one species influences the evolution of another one.
kofaktor;cofactor;reg.;A non-protein part of a coensyme required for it's proper functioning.
kofeina;caffeine;-;A neurotransmitter found in coffee seeds, among others.
kohezja;cohesion / cohesive attraction / cohesive force;- / reg.;The phenomenon of molecules of a substance tending to stick together when being close to one another, e.g. in water droplets formation.
kojarzenie losowe;zob. panmiksja;-;-
kojarzenie wsobne;inbreeding;-;A way of mating in which the partners are related to one another.
kokaina;cocaine;-;A stimulant drug.
komórka kokoidalna;coccoid cell;reg.;In algae, a type of round or eliptical cell that lacks motility.
kokon;cocoon;reg.;A silken structure in which pupation occurs.
kolagen;collagen;-;A structural protein, the most abundant protein in the human body.
kolanko;node;reg.;A thickened portion of a stem of a monocot.
kolba (sprzêt laboratoryjny);laboratory flask / flask;reg.;A glass or plastic vessel used to store materials.
kolec;spike;reg.;A pointed plant structure formed of epidermis posessing no vascular tissue inside. Also a pointed epidermis product in some animals, for instance hedgehog.
kolchicyna;colchicine;-;A toxic alkaloid stopping mitosis, also used as a gout medication.
kodon stop;stop codon / termination codon;reg.;A codon stopping the translation process.
panmiksja;panmixia / panmixis / random mating;-;A way of mating in which a given trait does not influence the choice of a partner.
kolba (botanika);spandix;spandices;A type of inflorescence in which flowers positioned closely from each other emerge from a thick stem.
kolczatka australijska;short-beaked echidna;-;The species of echidna endemic to Australia.
koleoptyl;coleoptile;reg.;A plant structure protecting the emerging shoot.
kolonia;colony;reg.;"A group of organisms of the same species living in close relation with one another; a term used especially when it comes to bacteria."
kolonizacja;colonization / colonisation;-;In biology, a phenomenon in which a species migrates to a territory where it was not present before.
kolumienka s³uchowa;columella;reg. / columellae;A bony structure of the ear of the amphibians, reptiles and birds.
ko³nierzykowa komórka;zob. choanocyt;-;-
komensalizm;commensalism;-;A kind of interaction between species in which one gains benefits while the other one remains unharmed, e.g the scavenging of hyenas.
komora py³kowa;theca;thecae;A plant structure protecting the pollen-containing organs.
komory mózgowe;brain ventricle;reg.;A natural cavity in the brain.
komórczak;multinucleate cell / multinucleated cell / polynuclear cell;reg.;A large eukaryotic cell with more than one nucleus.
komórka;cell;reg.;A basic, membrane-bound, biological unit of life
komórka centralna;central cell;reg.;A large cell of the embryo sac characterised by having two nuclei.
komórka generatywna;generative cell;reg.;A cell of pollen grain essential from mature sperm develops.
komórka macierzysta;stem cell;reg.;A cell able to differentiate into another type of cell.
komórka prokariotyczna;prokaryotic cell;reg.;A cell with no distinct organelles, such as a nucleous or mitochondrium.
komórka wegetatywna;vegetative cell;reg.;In botany, a cell involved in the transport of sperm cells to the embryo sac.
pylnik;zob. komora py³kowa;-;-
komórka albuminowa;zob. komórka bia³kowa;-;-
komórki Leydiga;Leydig cell / interstitial cell of Leydig;reg.;An androgen-prodicing cell of males.
