TERMIN-POL;TERMIN-ANG-SIN;TERMIN-ANG-PLU;DEFINICJA
komórka ok³adzinowa;parietal cell / oxyntic cell;reg.;A stomach cell essential for proper hydrochloric acid secretion.
komórka parzyde³kowa;zob. knidocyt;-;-
komórka plazmatyczna;zob. plazmocyt;-;-
komórka p³omykowa;flame cell;reg.;An excretory cell of some invertebrates.
komórka przyrurkowa;companion cell;reg.;A cell supporting sieve elements of the angiosperm phloem.
komórka Sertoliego;Sertoli cell;reg.;A hormone-secreting cell of the testicle, esspential for proper sperm cell production.
komórka sitowa;ethmoid sinus / ethmoid air cell;reg.;The smallest sinuses of the human body.
komórka solna;ionocyte;reg.;An osmoregulating cell of some fish.
komórka somatyczna;somatic cell / vegetal cell;reg.;Any cell of the body not related to reproduction or being a stem cell.
kompartment;compartment;reg.;In cytology, a part of the cell often bound by a lipid membrane, performing a given function.
kompleks synaptemalny;synaptonemal complex;reg.;A protein structure located between the chromatids, likely acting as a scaffold.
komplementacja genów;gene complementation;-;The phenomenon of a few genes being involved in the expression of one phenotypal trait.
komplementarnoœæ;complementation;-;The phenomenon of individuals with different recessive mutations expressing the same phenotypal trait.
koncha;conch;reg.;A type of sea snail shell.
komórka terminalna;zob. komórka p³omykowa;-;-
konchiolina;conchiolin / conchin;reg.;Any protein substance secreted by the mantle of a mollusc, forming a protective layer on the shell.
konflikt serologiczny;Rh incompatibility / Rhesus incompatibility / Rhesus isoimmunisation;-;The presence of an Rh+ antigen in the fetus when the mother is Rh-.
konformacja;conformation;reg.;In biochemistry, the structural arrangement of a protein.
konidium;conidium / asexual chlamydospore / chlamydoconidium / mitospore;conidia / asexual chlamydospores / chlamydoconidia / mitospores;An asexual fungal spore produced by mitosis.
koniugacja;conjugation;- / reg.;In microbiology, a temporary fusion of two bacterial cells allowing them to exchange genetic material.
konkurencja;competition;-;A type of interaction between species in which all species are harmed, especially by a lack of resources.
konserwant;preservative;reg.;A substance preventing food or a material from spoilage, often by inhibiting microbal growth.
konsumenci;consumer;reg.;In biology, a heterotrophic organism feeding on other organisms.
konwekcja;convection;- / reg.;The transmission of heat due to circulation.
konwergencja;convergence / convergent evolution;- / reg.;The evolution of two traits so that they end up similar, but involved in different periods of time.
koñczyna;limb / extremity;reg.;A jointed structure of an animal's body connected to the torso.
koprofagi;coprophage;reg.;An animal species feeding on faeces.
organizm koprofilny;coprophile;reg.;An organism thriving on faeces.
koprolity;coprolite / coprolith;reg.;Fossilized faeces.
kopulacja;copulation / coupling / coitus / sexual intercourse;- / reg.;A sexual activity that consists in a penetration of penis into vagina and may result in an egg cell fertilization.
kopyto;hoof;reg. / hooves;The tip of an ungulate's toe.
kora mózgowa;cerebral cortex / cerebral mantle;cerebral cortexes / cerebral cortices / cerebral mantles;The outermost, creased portion of the cerebrum.
kora nadnerczy;adrenal cortex;reg. / adrenal cortices;The outermost portion of the adrenal gland, secreting many hormones.
kora pierwotna;cortex;-;A plant tissue lying just below the epidermis of stem and root, protecting the vascular bundle.
kora wtórna;bark;- / reg.;The outermost, protective tissue layer of woody plants
koracidium;coracidium;coracidia;The cilliated larval stage of some tapeworms.
koralowce;anthozoan;reg.;Any member of the Anthozoa class of marine invertebrates characterised by their plant-like appearance.
korek;cork cambium / bark cambium / pericambium / phellem;cork cambia / cork cambiums / bark cambia / bark cambiums / pericambia / phellems;A plant epidermal tissue characterised by the presence of large amounts of empty space.
korkowica;zob. peryderma;-;-
kornik drukarz;European spruce bark beetle;-;Ips typographus, a wood-eating beetle species.
korona;crown;reg.;In botany, the upper portion of a branched plant.
kortykoidy;corticoid;reg.;Any adrenal gland-produced steroid.
kortykotropina;zob. hormon adrenokortykotropowy;-;-
korzeñ;root;reg.;A plant structure allowing it to draw nutrients and water from the soil.
korzeñ boczny;secondary root / lateral root;reg.;A root of a non-diffuse root system growing from the long, central, primary root.
korzeñ przybyszowy;adventitious root;reg.;A non-central root forming from a non-root tissue.
kosarz;harvestman / harvester / daddy longlegs;harvestmen / harvesters;Any member of the Opillones family of arachnids, characterised by their long legs.
kosmki jelitowe;intestinal villus;intestinal villi;A fold of the mucosa of the intestine increasing the intestine's surface, thus making the absorbtion of nutrients more efficient.
gatunek kosmopolityczny;cosmopolitan species;cosmopolitan species;A species present in a large portion of the world.
kosmówka;chorion;reg. / choria;The outermost fetal membrane protecting the foetus and other fetal membranes.
kosodrzewina;bog pine / dwarf mountain pine / mugo pine / mountain pine / scrub mountain pine / Swiss mountain pine;reg.;Pinus mugo, a species of conifer growing in mountains.
koracydium;zob. koracidium;-;-
suberynizacja;zob. korkowacenie;-;-
kostka s³uchowa;ossicle / auditory ossicle;reg.;A sound-transmitting bone of the middle ear.
kostna tkanka;bone tissue / osseous tissue;reg.;A hard, higly calcified connective tissue.
kostnopromieniste;ray-finned fish;reg.;Any fish member of the Actinopterygii clade, characterised by bony rays supporting their skin.
kostnoszkieletowe;bony fish;-;Any fish member of the Osteichthyes superclass, characterised by having their skeletons made of bone tissue.
kosz skrzelowy;gill basket;reg.;A structure supporting the gills of some aquatic animals.
koszyczek;anthodium;anthodia;A type of inflorescense in which flowers emerge on the top side of a thick receptacle.
koœæ;bone;reg.;An skeleton-forming organ built of osseous tissue.
koœæ biodrowa;illium;illia;The upper portion of the bone of the coxa.
koœæ g¹bczasta;cancellous bone / trabecular bone / spongy bone;reg.;The tissue found inside a bone.
koœæ krucza;coracoid;reg.;A bone forming shoulders of mammals.
koœæ kulszowa;ischium;ischia;The lower portion of the bone of the coxa.
koœæ kwadratowa;quadrate bone;reg.;A bone of the skull of the amphibians, reptiles and birds.
koœæ ³onowa;pubic bone;reg.;A bone forming the pelvis.
koœæ ogonowa;tailbone / coccyx;tailbones / coccyxes / coccyges;The bottommost part of the vertebra in some mammals.
koœæ szczêkowa;maxilla;maxillae;The upper boneforming the mouth.
koœæ zbita;cortical bone;reg.;The outermost tissue of the bone.
koœæ czworoboczna;zob. koœæ kwadratowa;-;-
kotka;zob. bazia;-;-
kotylozaur;cotylosaur;reg.;Any reptile member of the extinct Captorhinidae family.
kowade³ko;incus / anvil;incudes / anvil;One of the bones of the inner ear.
krajobraz naturalny;natural landscape;reg.;A landscape that does not include human activity not related to nature, e.g. a field.
krajobraz pierwotny;primordial landscape;reg.;A landscape not modified by any human activity.
krajobraz zdewastowany;devastated landscape;reg.;A landscape largely modified by human activity with irreversible changes.
krasnorost;red alga;red algae;Any member of the Rhodophyta family of algae characterised by their reddish clouring.
kr¹¿enia uk³ad;circulatory system / cardiovascular system / vascular system;reg.;The organ system through which blood and lymph flow.
kr¹¿enie materii;chemical cycling;-;The repeated travel of a chemical or a compound from one environment to another due to physial, chemical or biological activity, resulting in there always being present the same amount of said substance on Earth.
kr¹¿enie wrotne;portal circulation;-;A type of blood flow in which blood from one organ's capillary go to the capilary of another organ.
kr¹¿kop³aw;true jellyfish;true jellyfish;Any member of the Scyphozoa class of marine invertebrates.
kreda (geologia);the Cretaceous;-;The geological period during which flowering plants appeared.
kresomózgowie;cerebrum / telencephalon;cerebrums / telencephalons / telencephala / cerebra;The largest part of the human brain divided into two lobes.
wrodzony zespó³ niedoboru jodu;congenital iodine deficiency syndrome;-;A condition caused by a mother not consuming enough iodine during pregnancy.
krew;blood;- / reg.;A nutrients-transporting substance of many animals.
krêg;vertebra;vertebrae;A bone segment of the spine.
krêgos³up;backbone / spine / vertebral column;reg.;A long, segmented structure in which the spinal cord is located.
krêgowciec;vertebrate;reg.;Any animal with the spinal column present.
krêtek;spirochaete / spirochete;reg.;Any member of the Spirochaetes phylum of the bacteria, characterised by coiled morphology of the cell.
kriobionty;cryobiont species;cryobiont species;A species adapted to live in ice, especially microorganisms such as algae.
krokodyle;crocodilian;reg.;Any member of the Crocodilia order of semiaquatic, carnivorous reptiles.
królestwo;kingdom;reg.;The second highest taxonomic rank.
krtañ;larynx;larynges / larynxes;An organ of the respiratory system, in humans essential for voice creation.
krustekdyzon;crustecdisone;-;A steroid hormone of crustaceans involved in moulting.
naczynie krwionoœne;blood vessel;reg.;Any structure through which blood flows.
uk³ad kr¹¿enia;circulatory system;reg.;An ogran system that consists of cardiovascular system (that transports oxygen, carbon dioxide and nutrients via blood vessels) and lymphoid system (that supports nutrients and waste materials transport and parcitipates in immune reactions).
uk³ad krwionoœny;cardiovascular system / blood circulatory system;reg.;An organ system that uses blood to transport substances like nutrients, oxygen, CO2, hormones to all tissues of an organism.
narz¹dy krwiotwórcze;hematopoietic organ / haematopoietic organ;reg.;Any organ involved in blood cells production.
kryptofit;cryptophyte;reg.;A plant with buds made underwater or underground.
krzemionka;silica / silicon dioxide;-;A substance forming minute grains in some plants.
krzepniêcie krwi;zob. koagulacja;-;-
krzew;shrub / bush;reg.;A small woody plant.
krzewinka;prostrate shrub;reg.;A woody plant whose branches lie on the ground.
krzywa Gaussa;Gaussian curve;-;A mathematical model describing the probability of data being away from the mean in some contexts.
krzywica;rickets;-;A condition of having weak bones, usually due to vitamin D deficiency.
krzy¿owanie;crossbreed / hybridise;-;The mating of individuals of different genotypes, sometimes leading to heterosis.
krzy¿ówka testowa;test cross;reg.;A genetic cross in which an individual with an unkown genotype but a dominant phenotype is crossed with a recessive homozygote.
krzy¿ówka wsteczna;backcrossing;reg.;A cross between a heterozygous offspring with a homozygote parent.
ksantofil;xanthophyll / phylloxanthin;reg.;Any oxygen-containing carotenoid.
reakcja ksantoproteinowa;xanthoproteic reaction;-;A reaction for the identification aromatic amino acids using nitric acid.
kserofit;xerophyte;reg.;Any plant species adjusted to living in arid conditions, such as in a desert.
ksiêgi;omasum / bible / fardel / manyplies / psalterium;omasums / omasa / bibles / fardels / manyplies / psalteria;The third part of a ruminant's stomach.
ksylem;xylem;reg.;A plant tissue through which water and mineral salts are transported.
kubek smakowy;taste bud;reg.;A cell of the tongue allowing for taste reception.
geny kumulatywne;polygene;reg.;"A gene coding for the same trait as other genes do; all said genes influence that trait."
kupka;sorus;sori;A ferny or fungal spherical structure formed of multiple sporangia close to each other.
kurza œlepota;zob. œlepota zmierzchowa;-;-
kutner;tomentose hair;- / reg.;Short, dense hair covering the epidermis of some plants.
kutykula;cuticle / cuticula;cuticles / cuticulae;A protective film covering plant leaves or a protective layer of cells covering an invertebrate's body.
kutyna;cutin;-;A waxy substane forming plant cuticle.
kwas askorbinowy;ascorbic acid;-;A term for vitamin C.
kwas foliowy;folacin / folic acid;-;A term for vitamin B9.
kwas moczowy;uric acid;-;A product of purine metabolism.
kwas nikotynowy;zob. niacyna;-;-
folacyna;zob. kwas foliowy;-;-
kwas pangamowy;pangamic acid;-;A substance stimulating the secretion of corticosteroids, previously known as vitamin B15.
kwas pantotenowy;pantothenic acid;-;A substance essential for coenzyme A biosynthesis, also known as vitamin B5.
kwas nukleinowy;nucleic acid;reg.;An essential for life biopolymer composed of nucleotides, naturally occuring as DNA and RNA.
kwas t³uszczowy;fatty acid;reg.;An organic acid with a long hydrocarbon chain.
kwaœny deszcz;acid rain;reg.;A precipitation with a low pH, occuring due to the presence of sulphur dioxide or nitrogen oxide in the atmosphere.
kwiat oko³ozal¹¿niowy;perigynous flower;reg.;A type of flower in which the pistil is not attached to flower receptacle.
kwiatostan;inflorescence;reg.;A cluster of flowers growing from the main stem axis.
roœlina kwiatowa;zob. roœlina nasienna;-;-
hormon kwitnienia;zob. florigen;-;-
cecha labilna;labile trait;reg.;A trait largely influenced by an organism's environment instead of genetics.
laktacja;lactation;- / reg.;The secretion of milk from the mammary glands.
laktoza;lactose;-;A disaccharide present in milk.
lamella;lamella;reg. / lamellae;"A plate-like, thin, cellular or macroscopic structure; in mycology specifically refers to the gills of a mushroom."
laminaryna;laminarin / laminaran;-;A storage glucan, naturally occurring in brown algae.
lancetnik;European lancelet / Mediterranean amphioxus / Branchiostoma lanceolatum;-;A marine invertebrate, used as model organism for the study of vertebrate evolution.
wysepka Langerhansa;pancreatic islet / islet of Langerhans;reg.;A group of endocrine cells situated inside pancreas, important in glucose metabolism.
lanugo;lanugo;-;The first hair, thin and soft, appearing on fetus' body during fourth or fifth month of pregnancy.
larwa;larva;larvae;A juvenile form of an insect that undergoes complete metamorphosis.
las;forest / wood;reg.;A kind of terrestrial ecosystem, dominated by trees.
laseczka;bacillus / bacilliform bacterium;bacilli / bacilliform bacteria;A rod-shaped bacterium (non-direct translation).
lasostep;forest steppe;reg.;An ecosystem compiling fauna and flora of a forest and a steppe characteristic for northen Eurasia.
latarnia Arystotelesa;Aristotle's lantern;reg.;The chewing organ in sea urchins, consisting of 5 teeth-like structures made of calcium and a muscular system.
latencja;latent period / latency period / incubation period / pre-infectious period / latency;-;A time period between infection and manifestation of a disease.
latimeria;latimeria;-;A genus of coelacanth fish, that was thought to have become extinct 66 million years ago, but was rediscovered in 1938.
lecytyna;zob. fosfolipid;-;-
leghemoglobina;leghemoglobin / leghaemoglobin / legoglobin;-;An oxygen-carrying protein, occuring in root nodules of legumes.
lektyna;lectin;reg.;Any of the class of proteins binding specifically to certain carbohydrates.
lemocyt;Schwann cell / neurolemmocyte / lemmocyte;reg.;A glial cell involved in formation of myelin sheath in neurons.
lepki koniec;sticky end;sticky ends / cohesive ends;A single stranded end of DNA, generated by cutting DNA with a specific restrictase.
leptoten;leptotene stage / leptonema;-;The first stage of the prophase of meiosis, in which chromosomes appear as long strands.
gen letalny;lethal gene;reg.;A gene that can be fatal for the organism or its germ cells.
leucyna;leucine / leucin;-;An indispensable amino acid used for protein biosynthesis.
leukemia;zob. bia³aczka;-;-
leukiny;interleukin;reg.;A type of cytokines that is responsible for immune system regulation.
leukocytoza;leukocytosis / leucocytosis;-;The condition of having too many white blood cells in blood.
leukocyt;leukocyte / leucocyte / white blood cell;reg.;A blood cell responsible for immunity against pathogens.
leukon;leucon (BrE) / leukon (AmE);reg.;A possible morphological form of sponges.
leukopenia;aleukia / aleukocytosis / leukopenia;-;The condition of having too few white blood cells in blood.
leukoplast;leucoplast;reg.;A non-pigmented plastid, sometimes defined as a non-pigmented or starch-storing plastid.
lêgnia;oogonium;reg. / oogonia;In botany, the female gametangium of some tallophytes.
liaza;zob. syntetaza;-;-
libido;libido;- / reg.;The desire for sexual activity of higher animals.
lichenologia;lichenology;-;The study of lichen.
prawo minimum Liebiga;Liebig's law of the minimum / Liebig's law / law of the minimum;-;An ecological law stating that a population's growth is dependant on the scarcest resource available.
ligand;ligand;reg.;A chemical individuality binding to the central metal atom with coordinate bond.
ligaza;ligase;reg.;Any enzyme catalysing the joining of large molecules, e.g. DNA molecules.
lignifikacja;lignification;-;The process of synthesis of lignin within a plant's cell wall, giving it rigidity.
lignina;lignin;reg.;Any large organic polymer formed of crosslinked alcohol molecules found within old cell walls of plant cells
liguloza;ligulosis;-;A fish disease caused by parasitic flatworms.
limfa;lymph;-;Interstitial fluid flowing through the lymphatic system.
serduszko limfatyczne;lymphangion;reg.;A unit of a lymphatic vessel, pumping lymph in a way similar to the heart.
limfocyty;lymphocyte;reg.;A type of white blood cell, found inlarge numbers in the lymph.
limfokina;lymphokine;reg.;A cytokine made by lymphocytes.
limnologia;limnology;-;The study of lake and river ecosystems.
linia boczna;lateral line / lateral line system / lateral line organ;reg.;An organ of some marine animals allowing them to detect changes in water movement and pressure.
linia czysta;pure strain;reg.;A strain of a species in which all the organisms are homozygotes regarding to a given trait or traits.
hormon linienia;zob. ekdyzon;-;-
linienie;moulting / molting / sloughing / shedding / ecdysis (invertebrate only);moulting / moltings / sloughings / sheddings / - (ecdysis only) / ecdyses;The loss of skin or exoskeleton to accomodate an organism's growth.
liofilizacja;freeze-drying / freeze drying / lyophilisation / cryodesiccation;-;A removal of water from food or a sample by first freezing it and then ice sublimation.
lipaza;lipase;reg.;Any enzyme catalysing the cleavage of bonds within a lipid with the usage of water.
lipid;lipid;reg.;Any substance with large molecules that is not soluble in water.
lipoproteiny;lipoprotein;reg.;A molecule formed of lipids and proteins, responsible for lipid transport within an organism.
listkek;leaflet / foliole;reg.;A morphological part of a compound leaf.
liœciak;phyllode;reg.;A leaf stem that looks like a leaf itself.
liœcieñ;cotyledon;reg.;A first leaf forming during germination.
filodium;zob. liœciak;-;-
liœæ;leaf;leaves / foliage;A usually flat plant organ where the photosynthesis is the most intense.
liœæ zarodnionoœny;zob. sporofil;-;-
litoral;littoral zone / nearshore;reg.;The portion of a water body closest to its shore.
liza;lysis;lyses;The breakdown of a cell membrane and subsequent spillage of the cell's contents.
lizosomy;lysosome;reg.;A membrane-bound animal cell organelle functioning as the main site of digestion.
lizozym;lysozyme / muramidase / N-acetylmuramide glycanhydrolase;-;An animal enzyme breaking down bacterial cell wall, thus protecting the body from microbes.
lizyna;lysine;-;A polar proteinogenic amino acid.
lobopodium;lobopod / lobopodous limb;reg.;A limb of an extinct Lobopodia phylum member species.
locus;locus;loci;The position of a gene on a chromosome.
lordoza;lordosis;- / lordoses;A backward curvature of the spine, especially abnormal.
lot godowy;nuptial flight;reg.;A flight of some female, colony-forming insects during which the female mates with males or a courting behaviour of some birds.
lotka;remige;reg.;A flight feather of the wing.
lucyferyna;luciferin;reg.;Any light-emitting compound naturally produced by an organism.
luka ga³êziowa;leaf gap;reg.;A parenchyma-filled space from which the leaf grows.
luka liœciowa;zob. luka ga³êziowa;-;-
faza lutealna;luteal phase / luteal stage;-;A phase of the menstrual cycle after ovulation and before menstrual period.
hormon luteinizuj¹cy;luteinizing hormone / luteinising hormone / interstitial cell-stimulating hormone / lutein-stimulating hormone / lutropin;-;A hormon secreted by pituitary gland. In males stimulates interstitial cells to produce testosterone, in females leads to ovulation and development of the corpus luteum.
hormon luteotropowy;zob. prolaktyna;-;-
³agiewka py³kowa;pollen tube;reg.;A structure developed from the pollen of seed plants. It serves to carry sperm cells inside the pistil to the ovary.
³aknienie;appetite;- / reg.;A desire for food. This term is more psychological whereas 'hunger' is more physiological one.
³añcuch detrytusowy;detrital food chain / detitrus food chain;reg.;A type of a food chain that starts with the dead organic matter broken down by decomposers (bacteria, fungi).
³añcuch oddechowy;zob. ³añcuch transportu elektronów;-;-
³añcuch pokarmowy;zob. ³añcuch troficzny;-;-
tkanka ³¹czna;connective tissue;- / reg.;An animal tissue that consists of fibers, ground substance and cells. Its main functions are joining other tissues together, providing mechanical support and for blood - transporting oxygen, CO2 and nutrients.
³¹ka;meadow / grassland;meadows;An ecosystem covered by grasses, wildflowers, sedges and other non-woody plants, inhabited by insects and other animals.
³êgi;water meadow / flood-meadow / floodmeadow;reg.;A type of meadow located on temporary watery or flooded, usually beside a river.
³odyga;stem / stalk;reg.;An axial structure in plants that supports leaves, flowers and fruits and transports substances.
³ojowe gruczo³y;sebaceuos gland / sebaceous follicle / oil gland;reg.;A gland in mammals' skin that secretes sebum in order to nourish hair and epidermis.
³opatka;shoulder blade / shoulder bone / scapula / blade bone / scapular bone / wing bone;shoulder blades / shoulder bones / scapulas / scapulae / blade bones / scapular bones / wing bones;A triangular, flat bone located in the upper dorsal part of a thorax.
³o¿ysko;placenta;placentae;A common organ developed by pregnant mother (from endometrium) and fetus (from chorion) that provides nutrition and gas exchange and has endocrine and immunological functions.
³o¿ysko omoczniowe;allantoic placenta;allantoic placentae;A type of placenta formed from the chorion coadunate with allantois as a fetal part and endometrium as a maternal part.
³o¿ysko ¿ó³tkowe;yolk-sac placenta;yolk-sac placentae;A type of placenta e.g. in fish and reptiles that develops from the vascular yolk sac wall and vascular fallopian tube wall.
³uk gnykowy;hyoid arch;reg.;The second pharyngeal arch. In fish connects a mandible to a braincase. In amphibians, reptiles, birds and mammals upper part of it forms stirrup. In mammals the bottom part forms hyoid bone.
³uk odruchowy;reflex arc;reg.;A neural pathway that consists of somatic receptors, afferent nerve fibers, an integrating center, efferent nerve fibers and an effector (muscle) and does not include brain. It enables instant action in dangerous situations.
³añcuch transportu elektronów;electron transport chain;-;A system of protein complexes that transfer electrons and pump protons across the membrane in oxidative phosphorylation and photosynthesis.
lutropina;zob. hormn luteinizuj¹cy;-;-
³uk skrzelowy;pharyngeal arch / visceral arch;reg.;A structure formed during the embryonic development of vertebrates, from which various other structures form.
³upina nasienna;testa / seed coat;testas / testae / seed coats;A hard, dry covering of a seed.
³uska;scale;reg.;"A small, hard plate growing on an animal's skin; rarely, a color-giving structure of an insect's wing."
³uski cykloidalne;cycloid scale;reg.;A type of scale that covers another scale and has a smooth edge.
³uski elastyczne;elastic scale;reg.;A scale able to undergo deformation, thus aiding in movement.
³uski ganoidalne;ganoid scale;reg.;A lozenge-shaped scale with a layer of ganoin in its structure.
³uski ktenoidalne;ctenoid scale;reg.;A type of scale that covers another scale and has a toothed edge.
³uski plakoidalne;placoid scale / denticle;reg.;A tooth-shaped scale common in cartilaginous fish.
³uskonoœny;squamate / scaled reptilian;reg.;Any member of the Squamata order of reptiles, comprised of snakes, lizards and worm lizards.
³uszczyna;siliqua / silique;siliquae / siliques;A dry bean pod, with its length at least three times its width, of some cruciferous plants.
³uszczynka;silicle;reg.;A dry bean pod, with its length smaller then at least three times its width, of some cruciferous plants.
³yko;zob. floem;-;-
³za;tear (usually pl);reg.;A salty secretion of the eye keeping it moisturised.
macica;uterus / womb;uteri / wombs;An organ in which the animal fetus develops.
macica per³owa;zob. masa per³owa;-;-
magnez;magnesium;-;A chemical element, an important cofactor of many enzymes .
makia;maquis / macchia;-;A biome typical for the Mediterranean region.
makrocz¹steczki;macromolecule;reg.;A large molecule, usually organic, formed by over a thousand atoms.
makroelementy;macroelement;reg.;An element abundant in an organism or an environment, or an element with daily intake requirement over 100 mg.
³uskoskóry;zob. ³uskonoœny;-;-
masa per³owa;nacre / mother of pearl / mother-of-pearl;- / nacres / mothers of pearl / mothers-of-pearl;A material composing the inner layer of a shell of some mollusks.
makroewolucja;macroevolution;-;Evolutionary processes occuring via interactions between species.
makrofag;macrophage;reg.;An immune system cell that digests pathogens.
makrofil;megaphyll;reg.;A leaf with branched veins.
makrogametocyt;macrogametocyte;reg.;A cell from which macrogametes of some protozoa are formed.
makrosmatyczny;macrosmatic;-;Possessing a well-developed sense of smell.
makrospora;zob. megaspora;-;-
makrosporangium;megasporangium / macrosporangium;megasporangia / macrosporangia;A plant structure that contains macrospores, from which the female gametophyte develops.
makrosporofil;macrosporophyll / megasporophyll;reg.;A megasporangia-producing leaf.
malakologia;malacology;-;The study of mollusks.
malaria;malaria;-;A mosquito-transmitted disease caused by organisms belonging to the Plasmodium genus.
ma³op³ytkowoœæ;thrombocytopenia;-;The condition of having too few platelets in blood.
ma³¿owina uszna;auricle / auricula / pinna;auricles / auriculae / pinnae;The outermost part of the ear.
las mangrowy;mangal / mangrove forest;reg.;A woodland formed of mangrove trees, formed on salty, tropical coasts.
mannoza;mannose;-;A hexose, a glucose epimer.
megasporangium;zob. makrosporangium;-;-
mapowanie chromosomów;chromosome mapping;-;The process of describing the gene's loci.
macierz mitochondrialna;mitochonrial matrix;mitochondrial matrices;A space inside the inner mitochondrial membrane or a mixture contained in that space.
komórka mauthnera;Mauthner cell;reg.;A large neuron of the brain of some amphibians and fish.
mech;moss / bryophyte;reg.;Any member of the Bryophyta division, comprised of flowerless, simple plants.
meandrowce;Labyrinthodontia;-;An extinct subclass of amphibians.
mechanicyzm;mechanical philosophy;-;An outdated philosophical view according to which nature can be understood as a machine built of many components.
meckela chrz¹stka;Meckel’s cartilage / Meckelian cartilage;reg.;The cartilegous portion of the mandible.
meduza;medusa-phase / jellyfish;jellyfish;A stage of the life cycle of some cnidarians in which they reproduce sexually.
megaewolucja;megaevolution;-;Any large-scale evolutionary event or an evolutionary event leading to substantial change in nature.
megakariocyt;megakaryocyte / megalokaryocyte;reg.;A thrombocyte-producing bone marrow cell.
megaspora;megaspore / macrospore;reg.;A plant spore that develops into the female gametophyte.
megasporocyt;megasporocyte;reg.;A cell from which the megaspore develops.
mejocyt;meiocyte;reg.;Any cell which develops into a gamete after undergoing meiosis.
mejospora;meiospore;reg.;A haploid, meiosis-formed spore.
mejoza;meiosis;-;A type of cell division in which the amount of genetic material is halved.
melanina;melanin;-;A pigment giving the skin its characteristic colour.
melanizm przemys³owy;industrial melanism;-;The change of a genetically-determined arthropod's body colour due to the presence of industrially-produced soot in the environment and natural selection.
melanotropina;menalocyte-stimulating hormone / melanotropin / intermedin;reg.;Any hormone or neuropeptide produced by the anterior lobe of the pituitary gland.
gruczo³ merokrynowy;merocrine gland;reg.;A type of gland that is not destroyed during secretion of its product.
merozoit;merozoite;reg.;A larval stage of parasites from Apicomplexa genus.
merystemy;meristem;reg.;An undifferentiated plant tissue that is responsible for growth by cell division.
metabolizm;metabolism;-;The totality of biochemical processes occuring in an living organism.
metabolizm podstawowy;basal metabolic rate / BMR;-;The minimal level of energy that needs to be provided to sustain vital functions of an organism.
chromosom metacentryczny;metacentric chromosome;reg.;A type of chromosome with centrally located centromere, whose arms are of equal length.
metacerkaria;metacercaria;metacercariae;An encysted larval stage of Tremadota.
metafaza;metaphase;-;The phase od mitosis, in which chromosomes align in the middle of the cell.
metageneza;alternation of generations / metagenesis / heterogenesis;-;A type of life cycle characterized by alternate occurence of sexual and asexual phase.
metaloproteiny;metalloprotein;reg.;A protein binding metal ion as a cofactor.
metameria;metamerism;-;The state of having body made of segments, typical for annelids and arthropods.
metamorfoza;metamorphosis;-;A process that a juvenile organism undergoes to become an adult, associated with major physical changes.
metanefrydium;metanephridium;metanephridia;An excretory glang in invertebrates, that removes metabolic waste and toxins.
metanephros;zob. zanercze;-;-
methemoglobina;methemoglobin;-;A form of hemoglobin containing ferric ion (Fe3+) in its heme group, uncapable of transporting oxygen.
metylacja dna;DNA methylation;-;A process of changing biochemical activity of DNA by binding methyl group to DNA chain.
mezenchyma;mesenchyme / mesenchymal connective tissue;-;A type of undifferentiated connective tissue forming from mesoderm during embryonic development.
mezoderma;mesoderm;-;The middle germ layer that gives rise to connective tissue, bones or muscles.
mezofil;mesophile / mesophil;reg.;An organism that reaches its optimal growth in moderate temperature.
gruczo³ mezokrynowy;zob. gruczo³ merokrynowy;-;-
